epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1568.02,0.65512,0.5775,1.15327,0.83845,0.75749,0.79043,0.60203,0.98047,0.78013,1.56178,0.000171074,0.000171074,0.000171074
84,1583.5,0.65989,0.58122,1.16065,0.82212,0.75377,0.81922,0.63876,0.98281,0.77862,1.54588,0.000162075,0.000162075,0.000162075
85,1598.98,0.66247,0.58614,1.15973,0.84927,0.75186,0.81658,0.62487,1.00429,0.76549,1.57884,0.000153076,0.000153076,0.000153076
86,1615.04,0.65967,0.583,1.15133,0.83353,0.76314,0.79409,0.61618,0.97338,0.72688,1.58177,0.000144077,0.000144077,0.000144077
87,1633.07,0.6501,0.57562,1.14877,0.81981,0.82428,0.808,0.61139,0.9766,0.73118,1.57026,0.000135077,0.000135077,0.000135077
88,1649.9,0.64199,0.56541,1.15165,0.81823,0.81487,0.83823,0.64315,0.9245,0.72059,1.5053,0.000126078,0.000126078,0.000126078
89,1666.71,0.64957,0.57069,1.15638,0.8205,0.83558,0.82458,0.62328,0.9693,0.71692,1.56581,0.000117079,0.000117079,0.000117079
90,1683.49,0.63727,0.56464,1.14703,0.84864,0.80763,0.83392,0.64559,0.95057,0.73663,1.54189,0.00010808,0.00010808,0.00010808
91,1712.37,0.55161,0.39579,1.13425,0.80568,0.82571,0.8365,0.64714,0.95192,0.7123,1.52432,9.9081e-05,9.9081e-05,9.9081e-05
92,1728.91,0.5244,0.36369,1.11135,0.84981,0.82616,0.8483,0.65493,0.93169,0.68444,1.53178,9.00819e-05,9.00819e-05,9.00819e-05
93,1745.27,0.51416,0.35799,1.10366,0.81832,0.81976,0.84061,0.64169,0.92282,0.68597,1.52608,8.10828e-05,8.10828e-05,8.10828e-05
94,1761.55,0.51695,0.35636,1.11033,0.82689,0.82185,0.84025,0.65138,0.92683,0.6833,1.52802,7.20837e-05,7.20837e-05,7.20837e-05
95,1777.92,0.49645,0.34209,1.0971,0.83478,0.76359,0.83178,0.63578,0.91451,0.69823,1.52876,6.30846e-05,6.30846e-05,6.30846e-05
96,1794.34,0.49607,0.33778,1.08809,0.84041,0.8009,0.83556,0.63572,0.91907,0.70653,1.52581,5.40855e-05,5.40855e-05,5.40855e-05
97,1810.62,0.49562,0.33364,1.09907,0.84581,0.7988,0.8319,0.63921,0.91934,0.70127,1.53141,4.50864e-05,4.50864e-05,4.50864e-05
98,1826.93,0.48929,0.33299,1.09274,0.852,0.79552,0.83754,0.64391,0.91984,0.68767,1.52571,3.60873e-05,3.60873e-05,3.60873e-05
99,1843.32,0.48589,0.33041,1.08625,0.83718,0.79563,0.82969,0.63425,0.91265,0.70301,1.51962,2.70882e-05,2.70882e-05,2.70882e-05
100,1859.7,0.48215,0.32873,1.07894,0.83915,0.7967,0.83506,0.64923,0.90962,0.69963,1.51569,1.80891e-05,1.80891e-05,1.80891e-05
