epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1863.37,0.72524,0.99637,1.17628,0.51938,0.72373,0.62892,0.44135,1.20453,1.06988,1.64765,0.00030606,0.00030606,0.00030606
69,1891.28,0.72629,1.00532,1.17166,0.55283,0.75968,0.66355,0.4746,1.20059,1.0354,1.62974,0.000297061,0.000297061,0.000297061
70,1918.89,0.71992,0.99427,1.16964,0.55816,0.74969,0.65249,0.45511,1.2321,1.06266,1.6648,0.000288062,0.000288062,0.000288062
71,1946.55,0.71999,0.98675,1.16907,0.5351,0.69498,0.66147,0.46428,1.18055,1.0329,1.60806,0.000279063,0.000279063,0.000279063
72,1974.48,0.71466,0.99338,1.17049,0.61142,0.67893,0.71552,0.52268,1.22142,1.06511,1.6345,0.000270064,0.000270064,0.000270064
73,2002.48,0.70656,0.98988,1.16249,0.55017,0.73249,0.67284,0.48599,1.21751,1.07105,1.66939,0.000261065,0.000261065,0.000261065
74,2030.42,0.70154,0.98416,1.16411,0.55744,0.70408,0.67585,0.48352,1.2045,1.03256,1.63855,0.000252066,0.000252066,0.000252066
75,2058.22,0.69498,0.96455,1.15329,0.56936,0.67833,0.66951,0.4835,1.21217,1.09365,1.63675,0.000243067,0.000243067,0.000243067
76,2086.13,0.701,0.97847,1.15843,0.54564,0.70831,0.66649,0.47555,1.23227,1.0577,1.65954,0.000234068,0.000234068,0.000234068
77,2113.95,0.69251,0.96523,1.1534,0.55225,0.72803,0.69616,0.50279,1.20918,1.03196,1.63262,0.000225068,0.000225068,0.000225068
78,2141.91,0.69886,0.9677,1.16155,0.54512,0.72504,0.65409,0.45293,1.20857,1.05333,1.64905,0.000216069,0.000216069,0.000216069
79,2169.96,0.68247,0.95988,1.14803,0.55831,0.73655,0.68684,0.49524,1.19726,1.04805,1.62075,0.00020707,0.00020707,0.00020707
80,2197.95,0.67166,0.94734,1.14162,0.5698,0.729,0.68894,0.50124,1.18154,1.04558,1.61238,0.000198071,0.000198071,0.000198071
81,2225.83,0.6902,0.95191,1.15051,0.54845,0.76567,0.71049,0.50378,1.18414,1.01821,1.61473,0.000189072,0.000189072,0.000189072
82,2253.74,0.67465,0.94907,1.14276,0.57856,0.74809,0.72969,0.52497,1.1838,1.01485,1.62504,0.000180073,0.000180073,0.000180073
83,2281.4,0.66769,0.94047,1.14017,0.56766,0.72481,0.70539,0.5143,1.18638,1.0234,1.64534,0.000171074,0.000171074,0.000171074
84,2309.45,0.66264,0.92892,1.1361,0.56327,0.70275,0.69276,0.50526,1.18173,1.02701,1.63231,0.000162075,0.000162075,0.000162075
85,2337.45,0.67172,0.93474,1.13909,0.57391,0.71859,0.66917,0.47572,1.17867,1.02168,1.63128,0.000153076,0.000153076,0.000153076
86,2362.82,0.65605,0.92642,1.1352,0.57313,0.71939,0.67778,0.48225,1.17715,1.03279,1.62193,0.000144077,0.000144077,0.000144077
87,2390.95,0.66093,0.92736,1.13374,0.57181,0.75221,0.66683,0.4716,1.19122,1.01463,1.65266,0.000135077,0.000135077,0.000135077
88,2419.3,0.6542,0.92351,1.12889,0.55259,0.73008,0.69155,0.50112,1.17547,1.04272,1.6286,0.000126078,0.000126078,0.000126078
89,2444.76,0.64867,0.92103,1.12868,0.56443,0.72577,0.70293,0.50355,1.17741,1.05782,1.62794,0.000117079,0.000117079,0.000117079
90,2470.58,0.65181,0.92124,1.13028,0.53642,0.75176,0.71941,0.5093,1.18745,1.0572,1.63096,0.00010808,0.00010808,0.00010808
91,2507.92,0.56035,0.76594,1.11041,0.54794,0.7218,0.68994,0.50635,1.18605,1.03672,1.63301,9.9081e-05,9.9081e-05,9.9081e-05
92,2533.18,0.54022,0.74274,1.09831,0.55238,0.71004,0.67407,0.49037,1.1899,1.03116,1.64955,9.00819e-05,9.00819e-05,9.00819e-05
93,2558.67,0.5315,0.73124,1.08762,0.56593,0.70837,0.70072,0.51503,1.19246,1.04813,1.65824,8.10828e-05,8.10828e-05,8.10828e-05
94,2583.95,0.51952,0.72427,1.07751,0.56857,0.71728,0.6625,0.47551,1.18156,1.04513,1.6535,7.20837e-05,7.20837e-05,7.20837e-05
95,2609.45,0.51555,0.71911,1.08221,0.56361,0.71444,0.65654,0.48232,1.18379,1.05032,1.65379,6.30846e-05,6.30846e-05,6.30846e-05
96,2635.09,0.51738,0.71084,1.07742,0.56619,0.70497,0.65722,0.48619,1.17616,1.04371,1.64532,5.40855e-05,5.40855e-05,5.40855e-05
97,2660.55,0.50812,0.70564,1.06974,0.56093,0.70928,0.65654,0.49361,1.18031,1.0552,1.65221,4.50864e-05,4.50864e-05,4.50864e-05
98,2686.05,0.50125,0.70526,1.07001,0.55623,0.71212,0.64284,0.47462,1.17316,1.05829,1.64984,3.60873e-05,3.60873e-05,3.60873e-05
99,2710.97,0.49969,0.69704,1.06444,0.57993,0.71254,0.69012,0.51705,1.1683,1.064,1.65197,2.70882e-05,2.70882e-05,2.70882e-05
100,2735.29,0.49629,0.69965,1.06189,0.57365,0.70922,0.68527,0.51208,1.16904,1.066,1.64855,1.80891e-05,1.80891e-05,1.80891e-05
