epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1486.73,0.76205,0.67767,1.22325,0.82087,0.74841,0.75312,0.48921,1.26464,0.98474,1.76042,0.0003664,0.0003664,0.0003664
66,1509.21,0.75482,0.68232,1.22103,0.78117,0.76455,0.755,0.48231,1.25288,1.00977,1.75157,0.0003565,0.0003565,0.0003565
67,1531.63,0.75913,0.67383,1.21861,0.80448,0.75838,0.74673,0.49627,1.25393,0.96959,1.7554,0.0003466,0.0003466,0.0003466
68,1554.04,0.75884,0.68175,1.22089,0.80929,0.73666,0.75756,0.49183,1.25438,0.98272,1.75652,0.0003367,0.0003367,0.0003367
69,1575.31,0.7466,0.66671,1.21306,0.84654,0.73852,0.75973,0.49909,1.24305,0.96097,1.74931,0.0003268,0.0003268,0.0003268
70,1597.56,0.74542,0.65068,1.20973,0.77814,0.77613,0.7546,0.5041,1.23762,0.96354,1.73149,0.0003169,0.0003169,0.0003169
71,1619.18,0.75107,0.64943,1.21428,0.77767,0.79304,0.77213,0.5085,1.26695,0.94405,1.77449,0.000307,0.000307,0.000307
72,1637.86,0.74279,0.65146,1.2065,0.79598,0.77046,0.74886,0.49286,1.25817,0.91344,1.78073,0.0002971,0.0002971,0.0002971
73,1657.78,0.74118,0.65108,1.20927,0.80472,0.77558,0.77084,0.49965,1.25976,0.91137,1.77741,0.0002872,0.0002872,0.0002872
74,1680.13,0.73106,0.63757,1.20307,0.81633,0.74577,0.75993,0.497,1.2853,0.94583,1.79639,0.0002773,0.0002773,0.0002773
75,1702.06,0.72194,0.62801,1.19798,0.82029,0.75536,0.76394,0.49584,1.28367,0.96425,1.79258,0.0002674,0.0002674,0.0002674
76,1724.36,0.72966,0.63343,1.19765,0.79957,0.77443,0.76054,0.49602,1.24952,0.91108,1.75755,0.0002575,0.0002575,0.0002575
77,1746.51,0.72292,0.63877,1.20133,0.80168,0.73626,0.74911,0.48695,1.27156,0.95281,1.77508,0.0002476,0.0002476,0.0002476
78,1768.48,0.71806,0.62072,1.19182,0.80814,0.72385,0.7371,0.48463,1.2675,0.94817,1.7773,0.0002377,0.0002377,0.0002377
79,1791.36,0.70436,0.6115,1.18248,0.81325,0.7315,0.74224,0.49417,1.24538,0.96186,1.78689,0.0002278,0.0002278,0.0002278
80,1813.85,0.70856,0.62102,1.18972,0.75638,0.77322,0.7416,0.48257,1.2458,0.9448,1.78332,0.0002179,0.0002179,0.0002179
81,1836.53,0.70333,0.60878,1.1831,0.82478,0.72693,0.74817,0.49182,1.22985,0.948,1.75763,0.000208,0.000208,0.000208
82,1858.79,0.70085,0.60909,1.18457,0.75864,0.7957,0.76184,0.4934,1.23046,0.9218,1.76378,0.0001981,0.0001981,0.0001981
83,1881.01,0.70034,0.61053,1.18062,0.82978,0.71724,0.74975,0.49516,1.23048,0.9388,1.75003,0.0001882,0.0001882,0.0001882
84,1903.16,0.70454,0.60073,1.18371,0.82565,0.75716,0.76887,0.51138,1.24278,0.94231,1.76202,0.0001783,0.0001783,0.0001783
85,1925.19,0.68996,0.59122,1.17911,0.77923,0.77343,0.76334,0.48935,1.25294,0.95747,1.79416,0.0001684,0.0001684,0.0001684
86,1947.21,0.68194,0.58898,1.16858,0.74285,0.80626,0.7555,0.48801,1.25195,0.96878,1.77988,0.0001585,0.0001585,0.0001585
87,1969.27,0.6864,0.58833,1.17498,0.7674,0.80091,0.75284,0.48951,1.27459,0.96411,1.79445,0.0001486,0.0001486,0.0001486
88,1991.31,0.68251,0.57618,1.16351,0.80077,0.76476,0.76068,0.4945,1.26412,0.95353,1.79538,0.0001387,0.0001387,0.0001387
89,2013.6,0.67788,0.58084,1.1678,0.73782,0.80642,0.7612,0.49577,1.271,0.96506,1.80342,0.0001288,0.0001288,0.0001288
90,2035.59,0.66732,0.56546,1.15944,0.73799,0.78142,0.74765,0.48756,1.27533,0.95504,1.81949,0.0001189,0.0001189,0.0001189
91,2070.96,0.58552,0.39951,1.15204,0.7557,0.78704,0.75348,0.49162,1.26685,0.94381,1.81595,0.000109,0.000109,0.000109
92,2093.01,0.54884,0.36348,1.1251,0.78645,0.76382,0.74861,0.49498,1.24998,0.93843,1.78597,9.91e-05,9.91e-05,9.91e-05
93,2115.47,0.54666,0.35667,1.11498,0.79668,0.7717,0.75336,0.48932,1.24567,0.92431,1.7896,8.92e-05,8.92e-05,8.92e-05
94,2137.87,0.54001,0.35856,1.12575,0.79701,0.76221,0.75885,0.49108,1.22751,0.93112,1.77761,7.93e-05,7.93e-05,7.93e-05
95,2160.25,0.53454,0.35393,1.11608,0.79335,0.78826,0.75559,0.49434,1.23843,0.9239,1.80932,6.94e-05,6.94e-05,6.94e-05
96,2182.32,0.52481,0.3455,1.11428,0.77001,0.78153,0.75513,0.49565,1.23877,0.91817,1.80847,5.95e-05,5.95e-05,5.95e-05
97,2204.48,0.52024,0.3383,1.09662,0.78144,0.78032,0.75497,0.49709,1.23678,0.92476,1.80792,4.96e-05,4.96e-05,4.96e-05
98,2226.4,0.51409,0.3359,1.087,0.77487,0.78257,0.75697,0.5017,1.24279,0.93829,1.82561,3.97e-05,3.97e-05,3.97e-05
99,2248.51,0.5131,0.33641,1.09665,0.7641,0.7961,0.75822,0.50536,1.24371,0.93927,1.8224,2.98e-05,2.98e-05,2.98e-05
100,2270.89,0.50402,0.33336,1.08999,0.77696,0.77436,0.76119,0.50914,1.24522,0.94041,1.83043,1.99e-05,1.99e-05,1.99e-05
